"CARD_ID","x1","x2","x3","x4","x5","y"
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"90",1003.01,0,0.00255989497866754,0.00209927187778465,0.00212616153566427,1
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"98",552,0,0.00462214005084354,0.00194574746569687,0.00212616153566427,1
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"1F",1.3,0,0.000326066703931433,0.00317649624806835,0.00212616153566427,1
"56",43.3,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"E7",240,0,0.00393314595084039,0.00286123032904149,0.00240137056838599,1
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"56",44.99,0,0.00204798127559977,0.00194574746569687,0.00240137056838599,1
"DA",9.42,0.000497109275514304,0.000508124437731155,0.00317649624806835,0.00212616153566427,1
"56",12.13,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"56",44.99,0,0.00204798127559977,0.00194574746569687,0.00240137056838599,1
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"56",12.13,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"56",40.45,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"DA",9.21,0.000497109275514304,0.000508124437731155,0.00317649624806835,0.00212616153566427,0
"56",12.13,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"98",133,0,0.00344735421019042,0.00194574746569687,0.00212616153566427,1
"56",12.13,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"37",25.49,0.0127371273712737,0.0115354462985777,0.00223303076125526,0.00240137056838599,0
"FD",153.8,0,0.00094265894277174,0.00194574746569687,0.00212616153566427,1
"A2",22.5,0.480769230769231,0.00983553692357304,0.00317649624806835,0.00212616153566427,1
"A3",728.85,0.00884955752212389,0.000345801394732292,0.00245905496987952,0.00212616153566427,1
"A8",273.99,0.00403225806451613,0.000345801394732292,0.00223303076125526,0.00240137056838599,1
"37",314.18,0,0.00393314595084039,0.00223303076125526,0.00240137056838599,1
"A3",1048,0.0102604577742699,0.00344735421019042,0.00245905496987952,0.00212616153566427,1
"37",289.78,0,0.00393314595084039,0.00223303076125526,0.00240137056838599,1
"7C",0,0,0.00181053832512804,0.000668193967163039,0.00240137056838599,1
"2C",5,0,0.00529869241945133,0.00165627435697584,0.00240137056838599,1
"A3",791.48,0,0.000345801394732292,0.00245905496987952,0.00212616153566427,1
"A3",791.48,0.00884955752212389,0.000345801394732292,0.00245905496987952,0.00212616153566427,1
"8A",5,0,0.00529869241945133,0.00165627435697584,0.00240137056838599,1
"45",9.8,0,0.00765110941086458,0.00147911312974362,0.00212616153566427,1
"C3",689.63,0.0476190476190476,0.00823860673688601,0.00204835188529229,0.00212616153566427,1
"0A",0.11,0,0.00639222705190488,0.00194574746569687,0.00212616153566427,1
"7E",0.69,0,0.00256998623221661,0.00223303076125526,0.00240137056838599,1
"E7",479.8,0,0.00368629818056394,0.00286123032904149,0.00240137056838599,1
"E7",479.8,0,0.00368629818056394,0.00286123032904149,0.00240137056838599,1
"EA",44.11,0.0087260034904014,0.00331868895982806,0.00223303076125526,0.00212616153566427,1
"25",0,0,0.00393314595084039,0.00317649624806835,0.00212616153566427,0
"A2",9.99,9.57273684546412e-05,0.00359496704613541,0.00317649624806835,0.00212616153566427,0
"25",29,0.0571428571428571,0.00393314595084039,0.00317649624806835,0.00212616153566427,1
"25",546.37,0,0.0161839863713799,0.00317649624806835,0.00212616153566427,0
"37",331.18,0,0.00393314595084039,0.00223303076125526,0.00240137056838599,1
"25",50,0.00141342756183746,0.00181053832512804,0.00317649624806835,0.00212616153566427,1
"25",50,0.00141342756183746,0.00181053832512804,0.00317649624806835,0.00212616153566427,1
"25",50,0.00141342756183746,0.00181053832512804,0.00317649624806835,0.00212616153566427,1
"25",102.18,7.3351426685249e-05,0.00143008849557522,0.00317649624806835,0.00212616153566427,0
"2C",88.57,0,0.00393314595084039,0.00165627435697584,0.00240137056838599,1
"A2",9.99,9.57273684546412e-05,0.00359496704613541,0.00317649624806835,0.00212616153566427,0
"A2",0.01,9.57273684546412e-05,0.00359496704613541,0.00317649624806835,0.00212616153566427,0
"45",9.8,0,0.00765110941086458,0.00147911312974362,0.00212616153566427,1
"A2",9.99,9.57273684546412e-05,0.00359496704613541,0.00317649624806835,0.00212616153566427,0
"56",12.09,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"56",12.09,0,0.00343575144792382,0.00194574746569687,0.00240137056838599,1
"EA",34.95,0,0.00331868895982806,0.00223303076125526,0.00212616153566427,0
"25",50,0.00141342756183746,0.00181053832512804,0.00317649624806835,0.00212616153566427,1
"25",0,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",59.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",59.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",59.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"A8",1,0,0.00424628450106157,0.00223303076125526,0.00240137056838599,0
"25",0,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",59.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",99.9,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",59.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",59.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",6.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",6.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"25",6.99,0.0301057770545159,0.00181053832512804,0.00317649624806835,0.00212616153566427,0
"E7",23,0,0.00765110941086458,0.00286123032904149,0.00240137056838599,1
"A3",569.85,0.00292932991578176,0.00667121153097,0.00245905496987952,0.00212616153566427,0
"A3",569.85,0.00292932991578176,0.00667121153097,0.00245905496987952,0.00212616153566427,0
"E7",230.07,0,0.00983553692357304,0.00286123032904149,0.00240137056838599,1
"E7",23.4,0,0.00765110941086458,0.00286123032904149,0.00240137056838599,1
"EA",145.14,0.0178571428571429,0.00331868895982806,0.00223303076125526,0.00212616153566427,1
"EF",4.16,0.000465187014125583,0.00121189521767503,0.00223303076125526,0.00240137056838599,0
